Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
CA-One Tech Cloud,-1,2017,"Fremont, CA",IT Services,"Position Title: Principal Data Scientist
Location: San Francisco, CA
Duration: Full time

Job Description:
Work with large scale dataset which includes transactional, click-stream, and telematics data;
Build models, synthesize stories from data, and turn the stories into recommendations for building products that help our members to continuously improve on their driving;
Help build econometric models to drive operational excellence;
Work on data acquisition strategy to augment our dataset and drive value to our organization and members;
Partner with cross-functional teams to execute product roadmap and ensure data is always a forethought in decision-making;
Work with Data Engineers in building and maintaining near real-time data pipeline and machine learning infrastructure;
Establish and maintain data dictionary;
Own data quality controls and metrics;
Build and mentor a team of awesome data scientists.
Apply if you:
Have 5+ years of programming experience (Python preferred);
Have 3+ years of experience in developing models and productionizing it;
Have 3+ years of experience in machine learning infrastructure and AWS data stack;
Are an expert in statistical programming language (eg. Pandas, MATLAB, R);
Have proficiency in visualization tools (eg. matplotlib, ggplot2, Tableau);
Have worked on A/B testing, funnel optimization, cohort analysis, and user profiling;
Can split the time between data science and data engineering;
Have Bachelor's Degree (or higher) in Computer Science, Math, Statistics, Economics, or similar domain.
Nice to have:
Recent experience working in a startup;
Worked on telematics dataset.",Principal Data Scientist with over 10 years experience,"San Francisco, CA",-1,$5 to $10 million (USD),$102K-$162K (Glassdoor est.),Information Technology,51 to 200 employees,Company - Private
Optum Operations,-1,-1,-1,-1,"Positions in this function conduct and manage outcomes of various studies that include analyzing, reviewing, forecasting, trending, and presenting information for operational and business planning. They support short and long term operational/strategic business activities - by developing, enhancing and maintaining operational information and models. They also develop and implement effective/strategic business solutions through research and analysis of data and business processes.

We'll put you in the driver's seat on vital projects that have strategic importance to our mission of helping people lead healthier lives. Yes, we share a mission that inspires. We need your organizational talents and business discipline to help fuel ours. It's the opportunity to do your life's best work.(sm)

Use your Sharp Analytical Skills to help us support, compile and report key information! Drive processes and technology improvement initiatives for the products, using standard project methodology (requirements, design, test, etc.). Use data to identify trends, patterns and opportunities for the business and clients. Engage users in analysis and evaluation of functional models and prototypes; identify dependencies and priorities. Evaluate technology applications for use by the user community. Produce, publish and distribute scheduled and ad-hoc client and operational reports relating to the development and performance of products.

Position Overview:
As an individual contributor; this individual would be responsible for providing analytical solution to client based on statistical modeling
Developing analytical solutions for business problems & timely, error-free, high quality deliverables for a specific client request. Also, the individual will be responsible for his/ her analytics projects to be kept fully documented (objective, requirements, analysis plan, technical design, result, support, training etc.)
Over & above the delivery responsibility, the person would be providing consultations across different analytics teams on statistics, big data support, defining business problems, provide industry knowledge to enable/ engage client in project discussions & delivery and growth of existing analytics engagements within the above mentioned functional segment
Primary Responsibilities:
Hands-on experience in Big Data technologies like HADOOP (Hortonworks preferred but open to Cloudera, MapR or even Apache Hadoop),PIG, HIVE, Mapreduce, Flume, Kafka, Sparks etc.
Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc.
Managing stakeholders expectations, and working with business users to gather requirements, resolve business rule requirements, and perform joint conceptual data model reviews
Utilizing a range of existing Big data technologies and data modeling techniques such as star-schema, snowflake, hybrid, and new design techniques optimized for data acquisition, storage and visualization, and evangelizing the data models and techniques
Managing the balance of current and future needs or user requirements in both design and content
Resolving semantic discrepancies in data definitions that arise among multiple sources and projects
Knowledge of programming Statistics/Java/Python/R is
Exposure to tools/platforms Hadoop eco system and DB systems
Domain knowledge / expertise (Healthcare)
Experience to Business Intelligence or data analysis reporting
Experience to Statistical Modeling, SQL Database and Data Models
Experience in BI platform
Youll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.
*** ENGLISH PROFICIENT ASSESSMENT WILL BE REQUIRED AFTER APPLICATION ***

Required Qualifications:
Bachelors degree in Engineering, Business, Finance, Quantitative or related field
2 + years of business analytics work experience
2+ years of experience with Microsoft Excel
1+ year in process improvement, workflow, benchmarking and / or evaluation of business processes
1+ years of experience with project methodology (requirements, design, development, test and implementation)
1+ year of statistics, relational databases, database structures
Able to work in Puerto Rico or willing to relocate
English Proficiency
Preferred Qualifications:
Experience with statistical modeling, reporting and analyzing large amounts of data
Microsoft Access experience
Experience with Big Data technologies like HADOOP (Hortonworks preferred but open to Cloudera, MapR or even Apache Hadoop),PIG, HIVE, Mapreduce, Flume, Kafka, Sparks etc.
Careers with Optum. Here's the idea. We built an entire organization around one giant objective; make the health system work better for everyone. So when it comes to how we use the world's large accumulation of health-related information, or guide health and lifestyle choices or manage pharmacy benefits for millions, our first goal is to leap beyond the status quo and uncover new ways to serve. Optum, part of the UnitedHealth Group family of businesses, brings together some of the greatest minds and most advanced ideas on where health care has to go in order to reach its fullest potential. For you, that means working on high performance teams against sophisticated challenges that matter. Optum, incredible ideas in one incredible company and a singular opportunity to do your life's best work.(sm)
Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.

UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment.

Job Keywords: Data Scientist, Big Data, Data Analytics, Hadoop, SAS, San Juan, PR",Data Scientist,"San Juan, PR",-1,-1,$102K-$162K (Glassdoor est.),-1,-1,-1
"MITRE
3.2","Battelle, General Atomics, SAIC",1958,"Bedford, MA",Federal Agencies,"Why choose between doing meaningful work and
having a fulfilling life? At MITRE, you can have both. That's because MITRE
people are committed to tackling our nation's toughest challenges—and we're
committed to the long-term well-being of our employees. MITRE is different from
most technology companies. We are a not-for-profit corporation chartered to
work for the public interest, with no commercial conflicts to influence what we
do. The Research & Development centers we operate for the government create
lasting impact in fields as diverse as cybersecurity, healthcare, aviation,
defense, and enterprise transformation. We're making a difference every
day—working for a safer, healthier, and more secure nation and world.

A chance to provide active support to our sponsor’s vital
national security mission and to build MITRE’s capabilities in the artificial
intelligence and machine learning arenas.
This is a technically focused role that in intended to grow to a
strategic leadership role crossing multiple sponsor organizations. The selected
candidate will have access to multiple datasets and will work with domain
experts to develop and implement computational analytics for information
discovery. Activities will run the full lifecycle
from data preparation through final presentation. This role requires the
ability to perform technical evaluation and selection of technologies and
alternatives, formulation of computational strategies and hands on
implementation with real world datasets. Activities may include in-depth
analysis of technology, planning and conducting experiments, prototypes and
simulations, producing assessments, and developing strategies for creating
repeatable workflows. The role also
requires the ability to communicate findings and impacts to a diverse audience,
including senior decision makers. This
is a strategic leadership role with the successful candidate also advising and
working to expand MITRE’s internal capabilities and programs in artificial
intelligence and machine learning.

Technical degree with experience in software engineering and
prototyping for analytics.

Minimum of 5 years of experience in a technical field,
including but not limited to: Computer Science, Data Science, Computational
Analytics, Informatics, or Machine Learning.

Experience with Python, R, and Jupyter Notebooks

Strong analytic,
inferencing, critical thinking, and creative problem-solving skills.

Self-starter with
ability to work alone and as part of a team.

Strong
communication skills and ability to explain technical concepts to non-technical
and senior decision-makers

Understanding of systems
engineering processes including requirements analysis

Current TS/SCI
clearance with polygraph
Desired Skills

Doctorate in computational
sciences or related field

Experience with data
wrangling for analytics and machine learning

Experience with
text analytics

Familiarity with
installing and configuring Anacondda, Tensorflow, and Keras

Experience with
cloud-based environments and other virtualization technologies

Current TS/SCI
clearance with polygraph

Due to the nature of the work and the immediacy of the need,
a mandatory requirement is an appropriate, active clearance (TS/SCI with
polygraph as accepted by the task sponsor) for the work program.",Lead AI Data Scientist,"McLean, VA",3.2,$1 to $2 billion (USD),$102K-$162K (Glassdoor est.),Government,5001 to 10000 employees,Nonprofit Organization
"PepsiCo
3.7","Unilever, Mondelēz International, Amazon",1965,"Purchase, NY",Food & Beverage Manufacturing,"Auto req ID: 197188BR
Job Description


PepsiCo operates in an environment undergoing immense and rapid change, driven by eCommerce and emergent retail technologies. To ensure continued success in the food and beverage space, PepsiCo has assembled a dedicated eCommerce team – tasked with optimizing eCommerce operations and developing innovations that will give PepsiCo a sustainable competitive advantage. While tied closely to broader PepsiCo, the eCommerce group more closely resembles a start-up environment; embracing the core values of having a bias for action, being results-oriented, maintaining a community-focus, and prioritizing people.

PepsiCo’s Data Science and Analytics group is a team of data scientists, technology specialists, and business innovators who operate within eCommerce to build industry-leading systems and solutions. By focusing on machine learning and automation, the Data Science & Analytics group is pushing the bounds of possibility for PepsiCo and its strategic partners.

What PepsiCo Data Science & Analytics does:
Build machine learning systems to understand the cross-channel grocery ecosystem
Perform statistical analysis across diverse datasets to drive and measure performance
Work with PepsiCo’s strategic partners to expand their technical capabilities, thereby creating a more robust data environment
Utilize natural language understanding techniques to uncover insights from contextual data
Develop scalable tools to drive automation and optimize business operations
As a PepsiCo Senior Principal Data Scientist, you will be a critical leader responsible for shaping and executing the global eCommerce growth agenda. You will lead a team of Data Science professionals and Software Engineers tasked with identifying, designing, and implementing machine learning solutions across PepsiCo. You will be responsible for defining the data science roadmap across multiple organizations and ensuring timely delivery of projects committed against that roadmap. You will work with business stakeholders and strategic partners to identify opportunities for collaborative development and foster a data-driven culture throughout PepsiCo. To this end, you will be responsible for building a world-class data science organization, capable of creating a sustainable competitive advantage for PepsiCo.

Responsibilities:
Lead a team of Data Scientists and Software Developers in the application of modern data science and machine learning principles to address a wide range of business problems across various functional groups within PepsiCo
Define project roadmaps and manage project flow to ensure timely delivery of impactful products
Provide critical thought leadership to enhance organizational capabilities by utilizing big and small data; work with business leaders and strategic partners to identify and execute on opportunities for enhancement
Act as the technical representative for PepsiCo’s eCommerce Data Science organization
Qualifications/Requirements
Master’s Degree in Data Science or equivalent, PhD Preferred
10 years of relevant work experience, 6 years with a PhD
4+ years of software development and machine learning experience in a business environment
Experience leading technical teams
Expert in mathematical models underlying data science methods
Demonstrated ability to effectively and concisely communicate with both business and technical audiences
Relocation Eligible: Not Applicable
Job Type: Regular

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status.

PepsiCo is an Equal Opportunity Employer: Female / Minority / Disability / Protected Veteran / Sexual Orientation / Gender Identity

Our Company will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Fair Credit Reporting Act, and all other applicable laws, including but not limited to, San Francisco Police Code Sections 4901 - 4919, commonly referred to as the San Francisco Fair Chance Ordinance; and Chapter XVII, Article 9 of the Los Angeles Municipal Code, commonly referred to as the Fair Chance Initiative for Hiring Ordinance.

If you'd like more information about your EEO rights as an applicant under the law, please download the available EEO is the Law & EEO is the Law Supplement documents. View PepsiCo EEO Policy

Please view our Pay Transparency Statement",Senior Principal Data Scientist,"New York, NY",3.7,$10+ billion (USD),$102K-$162K (Glassdoor est.),Manufacturing,10000+ employees,Company - Public
"Booz Allen Hamilton Inc.
3.7","Accenture, Deloitte, PwC",1914,"Mc Lean, VA",Consulting,"Job Number: R0079579

Data Scientist, Senior

The Challenge:

Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the machine learning and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors from fraud detection, to cancer research, to national intelligence you know the answers are in the data. You will work with different Government stakeholders to build and maintain automated data workflows and pipelines, develop solutions to ingest, store, and distribute structured and unstructured data from disparate sources into a single location in the cloud, and support data driven decision making and knowledge sharing.

We have an opportunity for you to use your leadership and analytical skills to improve data analytics platforms and analytics for the Navy. Youll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. Youll mentor teammates, develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help Navy strategic, operational, and tactical leaders make informed decisions. Youll provide your customer with a deep understanding of their data, what it all means, and how they can use it. As a technical leader, youll identify new opportunities to use data science solutions to help your customers meet their toughest challenges.

Empower change with us.

You Have:

-2+ years of experience with statistical programming languages, including Python or R

-2+ years of experience with graph databases, including Neo4j, Cosmos DB, or JanusGraph

-Experience with data mining, graph theory, and statistical analysis

-Experience with pattern recognition and predictive modeling

-Experience with using current state of the art Knowledge Graphs, Network Graphs, and Graph Analysis

-Experience with the Cypher query language

-Knowledge of various data structures and common methods in data transformation

-Knowledge of machine learning frameworks and implementing Machine Learning algorithms to build models

-Ability to obtain a security clearance

-BA or BS degree

Nice If You Have:

-Experience with Agile methodologies

-Experience with Data Visualization platforms, including D3 Framework, Tableau, Kibana, and QLIK

-Experience in working with AWS - EC2 instances and S3 buckets

-Experience with UNIX and Linux commands

-Experience with Named Entity Extraction using Natural Language Processing

-Knowledge of Polystore Data Management Systems and Data Governance

-Knowledge of using ElasticSearch andMongoDB

-Knowledge of Natural Language Processing

algorithms and methodologies

-BA or BS degree in Computer Science, Statistics, or Applied Mathematics.

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.

Build Your Career:

At Booz Allen, we know the power of analytics and were dedicated to helping you grow as a data analysis professional. When you join Booz Allen, youll have the chance to:
access online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk
change the world with the Data Science Bowlthe worlds premier data science for social good competition
participate in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government
Youll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications that directly impact your role? You may be able to take advantage of our tuition assistance, onsite boot camps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. Well help you develop the career you want as you chart your own course for success.

Were an EOE that empowers our peopleno matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristicto fearlessly drive change.

#LI-AH1, APC1, CJ1","Data Scientist, Senior","Arlington, VA",3.7,$5 to $10 billion (USD),$102K-$162K (Glassdoor est.),Business Services,10000+ employees,Company - Public
"Tygart Technology, Inc
4.7",-1,-1,"Fairmont, WV",-1,"Tygart is currently seeking Data Scientist to support a Department of Justice (DoJ) organization. The successful candidate will have a background in a quantitative or technical field, will have experience working with small and large data sets, and will have some experience in data-driven decision making. This position requires that the candidate have a current Top Secret security clearance.

Responsibilities include:
Analyze available systems, processes, and data with the strategic view to conceptualize and recommend innovative data usage (analysis, visualization, value propositions) to meet mission need.
Solve complex analytical problems using quantitative approaches with a blend of analytical, mathematical, and technical skills
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our mission and business products
Inform, influence, support, and execute our product decisions and product launches
Partner with product and engineering teams to solve problems and identify trends and opportunities
Assess/analyze approaches to obtaining value and insight into large datasets; find patterns and insights within structured and unstructured data.
Propose analytics strategies and solutions that drive innovative uses of current and future data streams.
Spreading best practices to analytics and product teams
Building models of user behaviors for analysis or to power production systems
Qualifications

The ideal candidate will have the following:
Bachelor's degree in Mathematics, Operations Research, Engineering, Information Technology, Computer Science, or related field.
Ten (10) years of work experience in system engineering or data analysis position
Skilled in operations research, applied statistics, data mining, machine learning, or a related quantitative discipline.
Possesses a deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and optimization algorithms.
Able to clearly communicate complex ideas and methods in meaningful ways across the spectrum of engineers to management.
Experience in SQL or other programming languages.
Development experience in at least one scripting language (PHP, Python, Perl, etc.)
Experience manipulating large data sets through statistical software (ex. R, SAS) or other methods
Skilled in relational databases, SQL, big data analytics and technologies, to include Hadoop-based data mining frameworks.
Experience with distributed computing (Hive/Hadoop), machine learning, semantic web, knowledge graph, and natural language processing is desired
Must be able to well under pressure, and possess excellent oral and written communication skills, as well as excellent organizational skills.
Tygart Technology, Inc. is a premier professional services and software development organization providing a broad range of Information Technology (IT) services to public and commercial sector customers. Founded in 1992, Tygart's customer first mind set and agile development methodology have led to our continued success. Tygart supports the Department of Defense, Federal Bureau of Investigation, Intelligence Community, Federal Election Commission, Pension Benefit Guaranty Corporation, and various other Federal and State organizations and maintains offices in West Virginia and Northern Virginia.

Tygart Technology, Inc. is an equal opportunity/affirmative action employer and considers qualified applicants for employment without regard to race, gender, age, color, religion, disability, veteran's status, sexual orientation, or any other protected factor.

For information on Tygart and our career openings, please visit http://www.tygart.com/careers/.

SDL2017",Data Scientist,"Washington, DC",4.7,$1 to $5 million (USD),$102K-$162K (Glassdoor est.),-1,1 to 50 employees,Company - Private
"CK-12 Foundation
4.1",-1,2007,"Palo Alto, CA",K-12 Education,"CK-12’s mission is to provide free access to open-source content and technology tools that empower students as well as teachers to enhance and experiment with different learning styles, resources, levels of competence, and circumstances.

To achieve this noble and ambitious vision, we at CK-12 are challenging the traditional model of education to transform it dramatically. Technology has opened up lots of opportunities to revolutionize education for the benefit of students, teachers, and parents.

We have chosen to be non-profit so that we can effectively realize our mission and so that we can do the right thing! It also provides us the ability to experiment with big and bold ideas. CK-12 is backed by Vinod Khosla, a renowned technology venture capitalist.

At CK-12, you’ll experience the benefits of working in a dynamic, entrepreneurial, innovative and non-bureaucratic environment where you will get a lot of cool things done than you ever imagined! We are a small group of passionate folks who are determined to disrupt the current form of education. We came together from companies such as Apple, eBay, Amazon, McGraw-Hill, and startups.

Technology is key to scale education and we deeply believe in it. Come develop great solutions on our cloud-based (AWS) AI-first platform delivering rich and interactive content.

Does our mission, people and technologies excite you? If the answer is YES! and you are a great technologist who will challenge status-quo (no order takers please!) by innovating, please come join us! Together, we will change the world!

CORE RESPONSIBILITIES
Extract and Analyse the large volume of data deeply to understand and deduce a wide range of information about our users
Transform these insights into actionable reports (~50% of your time would be involved in this activity)
Anticipate user’s needs based on their past actions, collaborative filters and other data analytics techniques to create highly engaging experiences that increase usage (for new and repeat users) of CK-12 and at the same time increase learning outcomes for our users
Communicate data insights to the team and recommend concrete actions and inferences to the team
Provide technical expertise in statistical analysis, mathematical modeling, data mining/machine learning
Institutionalize user analytics in processes and decision making, both strategic and tactical that will drive to achieve CK-12 mission
Develop a sound understanding of the Education and Ed Tech market, competitive landscape, industry-wide data, and benchmarks, and create yardstick/milestones for the organization to set or beat
Analytics is part of our DNA and whatever features we build (or the ones that are live currently) capture enough meaningful analytics for future data mining
Develop a strong understanding of K-12 content, pedagogies, student learning habits to analyze and inform about content and product effectiveness
Develop a strong understanding of teacher and student needs, desires and workflows to inform data analytics and analysis
Have fun while driving innovation through data by challenging the status quo in education and learning and providing creative data-based solutions
REQUIREMENTS
5+ years of experience as a Data Scientist
Proficiency in SQL or NoSQL and handling large and messy datasets
Proficiency in data visualization software and/or libraries (e.g. Tableau, Periscope, matplotlib, etc)
Proficiency in Pandas, SAS, R, Matlab or other analytics/data mining package
Experience with mathematical, statistical, and scientific modeling skills
Experience in segmentation building, predictive analytics, and statistical modeling
Adept at problem-solving using both textbook methods and novel viewpoints
Able to work in tandem with business partners and engineering to formulate and solve tractable projects
Able to translate high-level directions into practical projects and lead/drive their completion with minimal supervision
Be a data enthusiast and a data skeptic; we need both.
Excellent interpersonal, written, and verbal communication skills
Bachelor’s or Master’s degree in Computer Science or quantitative discipline
Able to look outside the organization for new datasets and formulate best practices and metrics to showcase CK-12 capabilities
ADDITIONAL DESIRED SKILLS
Experience with NoSQL platforms, especially MongoDB (a huge plus)
Experience with data engineering (Map Reduce platforms, data pipelining, etc)
Experience at EdTech company or K-12 Educational landscape
HOW TO APPLY

Submit your resume to ml@ck12.org with “Senior Data Scientist” in the subject line.
It is a full-time position at our office in Palo Alto, CA (no telecommuting)
The applicant must be authorized to work in the US for any employer",Senior Data Scientist,"Palo Alto, CA",4.1,Unknown / Non-Applicable,$102K-$162K (Glassdoor est.),Education,1 to 50 employees,Company - Private
Non Specific Employer,-1,-1,-1,-1,"Location Washington, DC
Description

Country: [.]
Cities:
Atlanta, Charlotte, Nashville, Tampa, Washington DC [.]
Analytics [.]
Do you view data as an art and a science? So do we.
How we support you:
We believe in gender equity and an inclusive community. We offer a comprehensive benefits package: generous vacation allowance disability coverage, retirement plans, paid maternity and paternity leave, life insurance, hotel and travel discounts, extended benefits to cover items that support your well-being, health, dental and vision insurance, professional development and paid Microsoft certification opportunities.
As an Industry Data...

Yesterday from:",Data Scientist,"Washington, DC",-1,-1,$102K-$162K (Glassdoor est.),-1,-1,-1
"Wolverine Trading
4.1",-1,1994,"Chicago, IL",Investment Banking & Asset Management,"Data Scientist / Quantitative Researcher – High Frequency Futures
Location


Chicago

Job Department


Trading

Apply Now

Position Title: Data Scientist / Quantitative Researcher – High Frequency Futures

Location: Chicago

Department: Trading

Position Summary

We are looking for highly skilled and experienced individuals to join a research effort focused on generating high frequency trading alphas in the futures markets. The ideal candidate has direct experience in the alpha research process and understands the workflow from idea generation to production implementation. This opportunity will provide the right candidate the chance to have a large impact on the direction and productivity of a newly formed effort within a successful proprietary trading firm.

Responsibilities

• Conduct financial data analysis on large datasets to generate profitable trading alphas.

• Define key metrics for model validation.

• Back testing and production performance monitoring.

• Contribute to in-house data analysis packages and research framework development.

• Acquisition of new data sets and cleaning/maintenance of new and existing data sets.

Requirements

• At least 2+ years of experience generating or implementing short-term trading alphas into production trading strategies.

• Advanced knowledge of modern statistical and machine learning techniques.

• Proficiency in a scripting language such as Python, R, or MATLAB.

• Proficiency in at least one statistical package and one machine learning package in one of the above languages.

• Demonstrated experience working with tick data.

• Degree in a quantitative discipline such as Statistics, Computer Science, Mathematics, Engineering, etc.

• Experience developing software systems an in object oriented language is a plus.

About Wolverine

Founded in 1994, the Wolverine companies comprise a number of diversified financial institutions specializing in proprietary trading, asset management, order execution services, and technology solutions. We are recognized as a market leader in derivatives valuation, trading, and value-added order execution across global equity, options, and futures markets. With a focus on innovation, achievement, and integrity, we take pride in serving the interests of both our clients and colleagues. The Wolverine companies are headquartered in Chicago with offices in New York and San Francisco and a proprietary trading affiliate office located in London.

Sponsorship is not available for this position.",Data Scientist / Quantitative Researcher – High Frequency Futures,"Chicago, IL",4.1,$10 to $25 million (USD),$102K-$162K (Glassdoor est.),Finance,201 to 500 employees,Company - Private
"SURVICE Engineering Company
3.9",-1,1981,"Belcamp, MD",Aerospace & Defense,"NOTE: MUST BE A US CITIZEN TO QUALIFY

SURVICE Engineering is nationally recognized as a single-source provider for Government and industry organizations involved in all phases of the systems engineering process. We're proud to have supported the development, testing, and analysis of many of the major U.S. combat systems in the field today. Join us in making a difference in the lives of those defending our nation.

SURVICE is currently seeking multiple Data Scientists, at various levels, to support our customer at the Naval Air Systems Command located at the Naval Air Station Patuxent River, MD. The Data Scientist will support the analysis of F-35 data, simulation data, and the statistical comparison of the two data sets. The ideal candidate is adept at manipulating data in a tactical or operational context to gain insight into installed sensor and system performance. They must have strong experience using a variety of data analysis methods and data munging tools. They must have a proven ability to support technical decisions with data. They must be comfortable working with a wide range of stakeholders and functional teams across government and contractor organizations.

Primary Duties & Responsibilities
Work with data analysis team members across the enterprise to accomplish the verification and validation of the Joint Simulation Environment.
Write tools to assist in mining data from flight tests and simulation runs
Write tools to assist in comparative analysis of flight tests and simulation runs
Assess the effectiveness and accuracy of new data sources and data gathering techniques
Implement performance analysis and visualization of flight test and simulation data sets
Desired Experience
Strong problem-solving skills with an emphasis on producing data to drive decisions
Experience using statistical computer languages (R, Python, MATLAB, or similar etc.) to manipulate data and draw insights from medium and large data sets
Experience working with and creating data architectures
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications
Must have DoD/military systems experience
Excellent written and verbal communication skills for coordinating across teams
A drive to learn
Qualifications

We are looking for two Data Scientists for this effort. The mid to senior level candidate should have a minimum of at least 5-7 years of relevant experience. BS or MS in Engineering, Operations Research, Computer Science, Math or other relevant technical degree. The junior to mid-level candidate should have 1-5 years of experience and relevant education.

Security Clearance Requirement
MUST have an active DoD issued government security clearance in order to be considered
Relocation benefits are available

SURVICE Engineering Company offers competitive salaries and generous benefits packages, including tuition reimbursement up to $7K a year.

SURVICE Engineering is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. VEVRAA Federal Contractor.

SDL2017",Data Scientist,"Lexington Park, MD",3.9,$10 to $25 million (USD),$102K-$162K (Glassdoor est.),Aerospace & Defense,201 to 500 employees,Company - Private
